title,category,start_datetime_local,end_datetime_local,location_name,address_text,city,source,source_url,scraped_at,start_dt,end_dt,start_date,start_hour
Tomás Díaz Cedeño: Breath below,,2025-01-10T00:00:00+01:00,,RIBOT,"Via Enrico Nöe, 23, Milano, Città Studi",Milan,milanotoday,https://www.milanotoday.it/eventi/tomas-diaz-cedeno-breath-below-tomas-diaz-cedeno.html,2025-12-22T16:53:52.392280+01:00,2025-01-10 00:00:00+01:00,,2025-01-10,0.0
Tombolata musicale - Nolo,,2025-12-17T00:00:00+01:00,,NATURAL VOICE,"Via Pietro Crespi, 6, Milano, Loreto",Milan,milanotoday,https://www.milanotoday.it/eventi/tombolata-musicale-nolo-natural-voice.html,2025-12-22T16:53:54.888687+01:00,2025-12-17 00:00:00+01:00,,2025-12-17,0.0
Torna all’auditorium di Milano il concerto benefico di Mission Bambini,,2025-12-20T00:00:00+01:00,,Auditorium di Milano,"Largo Gustav Mahler, Milano, Porta Ticinese",Milan,milanotoday,https://www.milanotoday.it/eventi/torna-all-auditorium-di-milano-il-concerto-benefico-di-mission-bambini.html,2025-12-22T16:53:57.150154+01:00,2025-12-20 00:00:00+01:00,,2025-12-20,0.0
torna beauty art connect l’ evento dedicato al mondo della bellezza creativa,,2025-12-10T00:00:00+01:00,,OPOS,"Via Ermenegildo Cantoni, 3, Milano, Vialba",Milan,milanotoday,https://www.milanotoday.it/eventi/torna-beauty-art-connect-l-evento-dedicato-al-mondo-della-bellezza-creativa-main-artists-omar-turrini-serena-polh-stefano-anselmo-alessio-giovannelli-leonardo-cruciano-fausto-cavaleri-daniele-pacini.html,2025-12-22T16:53:59.567354+01:00,2025-12-10 00:00:00+01:00,,2025-12-10,0.0
"torna fill your bag by east market, tutto il vintage a portata di borsa",,2025-03-07T00:00:00+01:00,,Fill Your Bag,"Corso di Porta Ticinese, 103, Milano, Porta Ticinese",Milan,milanotoday,https://www.milanotoday.it/eventi/torna-fill-your-bag-by-east-market-tutto-il-vintage-a-portata-di-borsa.html,2025-12-22T16:54:02.245822+01:00,2025-03-07 00:00:00+01:00,,2025-03-07,0.0
torna il panettone party di arte da mangiare mangiare arte in uno spazio d'eccezione: lo spazio filatelico di via cordusio 4.,,2025-11-29T00:00:00+01:00,,Spazio Filatelico,"Piazza Cordusio, 4, Milano, Duomo",Milan,milanotoday,https://www.milanotoday.it/eventi/torna-il-panettone-party-di-arte-da-mangiare-mangiare-arte-in-uno-spazio-d-eccezione-lo-spazio-filatelico-di-via-cordusio-4.html,2025-12-22T16:54:04.681805+01:00,2025-11-29 00:00:00+01:00,,2025-11-29,0.0
Torna Vinyl Market - oltre 25.000 dischi da Wao Isola e presentazione libro “punk rock - The Manges Photo Archive”,,2025-12-20T00:00:00+01:00,,WAO Isola,"Via Luigi Porro Lambertenghi, 7, Milano, Isola",Milan,milanotoday,https://www.milanotoday.it/eventi/torna-vinyl-market-oltre-25-000-dischi-da-wao-isola-e-presentazione-libro-punk-rock-the-manges-photo-archive.html,2025-12-22T16:54:07.981869+01:00,2025-12-20 00:00:00+01:00,,2025-12-20,0.0
Tornano le club nights sotterranea con Fantastic Man,,2025-10-18T00:00:00+02:00,,Vacuum Club,"Corso di Porta Ticinese, 32, Milano, Porta Ticinese",Milan,milanotoday,https://www.milanotoday.it/eventi/tornano-le-club-nights-sotterranea-con-fantastic-man-fantastic-man.html,2025-12-22T16:54:10.861668+01:00,2025-10-18 00:00:00+02:00,,2025-10-18,0.0
A Milano arriva uno speciale torneo della Kings League,Kings League,2025-06-18T00:00:00+02:00,,Stazione Centrale,"Stazione Centrale, Milano, ",Milan,milanotoday,https://www.milanotoday.it/eventi/torneo-kings-league-milano.html,2025-12-22T16:54:14.061182+01:00,2025-06-18 00:00:00+02:00,,2025-06-18,0.0
I giocatori e le giocatrici di padel più forti del mondo si sfidano a Milano,padel,2025-06-10T00:00:00+02:00,,Allianz Cloud,"Piazza Carlo Stuparich, 1, Milano, Fiera",Milan,milanotoday,https://www.milanotoday.it/eventi/torneo-mondiale-padel-allianz-cloud.html,2025-12-22T16:54:16.605202+01:00,2025-06-10 00:00:00+02:00,,2025-06-10,0.0
training teatrale aperto con zahr teatër,,2025-08-04T00:00:00+02:00,,Slowmill,"Via Volturno, 32, Milano, Isola",Milan,milanotoday,https://www.milanotoday.it/eventi/training-teatrale-aperto-con-zahr-teater-zahr-teater.html,2025-12-22T16:54:19.902423+01:00,2025-08-04 00:00:00+02:00,,2025-08-04,0.0
Trainline: vivi un piccolo angolo di Parigi a Milano,,2025-09-18T00:00:00+02:00,,"Stazione Centrale, Galleria delle Carrozze","Stazione Centrale, Milan, Metropolitan City of Milan, Italy, Milano, ",Milan,milanotoday,https://www.milanotoday.it/eventi/trainline-vivi-un-piccolo-angolo-di-parigi-a-milano.html,2025-12-22T16:54:23.018181+01:00,2025-09-18 00:00:00+02:00,,2025-09-18,0.0
"Tre giorni di giochi spaventosi, danze mostruose e festa in un centro commerciale alle porte di Milano",Halloween,,,,,Milan,milanotoday,https://www.milanotoday.it/eventi/tre-giorni-halloween-centro-commerciale.html,2025-12-22T16:54:26.246956+01:00,,,,
"triathlon delle arti teatrali 2025: l’incontro con la magia del teatro. per bambini, ragazzi, adolecsenti",,2025-12-08T00:00:00+01:00,,Pantagruele Teatro delle Arti,"Via Asmara, 11, Milano, Zara",Milan,milanotoday,https://www.milanotoday.it/eventi/triathlon-delle-arti-teatrali-2025-l-incontro-con-la-magia-del-teatro-per-bambini-ragazzi-adolecsenti.html,2025-12-22T16:54:28.781478+01:00,2025-12-08 00:00:00+01:00,,2025-12-08,0.0
Triathlon delle arti teatrali 2025 workshop di teatro gratuiti per adulti e adolescenti,,2025-07-08T00:00:00+02:00,,Pantagruele Teatro delle Arti,"Via Asmara, 11, Milano, Zara",Milan,milanotoday,https://www.milanotoday.it/eventi/triathlon-delle-arti-teatrali-2025-workshop-di-teatro-gratuiti-per-adulti-e-adolescenti.html,2025-12-22T16:54:35.498323+01:00,2025-07-08 00:00:00+02:00,,2025-07-08,0.0
Tributo f.de andre',,2023-04-23T00:00:00+02:00,,C.I.Q.centro intern.di quartiere,"Via Fabio Massimo, 19, Milano, Corvetto",Milan,milanotoday,https://www.milanotoday.it/eventi/tributo-f-de-andre-figli-di-un-temporale.html,2025-12-22T16:54:38.328862+01:00,2023-04-23 00:00:00+02:00,,2023-04-23,0.0
"""tucidide. atene contro melo"",  spettacolo di alessandro baricco e giovanni sollima per i 25 anni della fondazione francesca rava. il 4 giugno al teatro alla scala",,2025-04-06T00:00:00+02:00,,Teatro alla Scala,"Via Filodrammatici, 2, Milano, Duomo",Milan,milanotoday,https://www.milanotoday.it/eventi/tucidide-atene-contro-melo-spettacolo-di-alessandro-baricco-e-giovanni-sollima-per-i-25-anni-della-fondazione-francesca-rava-il-4-giugno-al-teatro-alla-scala-spettacolo-di-alessandro-baricco-e-giovanni-sollima.html,2025-12-22T16:54:42.836324+01:00,2025-04-06 00:00:00+02:00,,2025-04-06,0.0
"'TuttaBase', 36 ore di musica no stop tra dj set e concerti",,2025-06-06T00:00:00+02:00,,Base Milano,"Via Ambrogio Bergognone da Fossano, 34, Milano, Tortona",Milan,milanotoday,https://www.milanotoday.it/eventi/tuttabase-festa-base-musica-no-stop-36-ore.html,2025-12-22T16:54:45.595006+01:00,2025-06-06 00:00:00+02:00,,2025-06-06,0.0
