timestamp,temperature_2m,precipitation,windspeed_10m,humidity
2025-12-08 13:00:00,11.2,0.0,1.5,55
2025-12-08 14:00:00,11.6,0.0,3.6,53
2025-12-08 15:00:00,11.6,0.0,2.6,59
2025-12-08 16:00:00,10.0,0.0,2.5,67
2025-12-08 17:00:00,8.7,0.0,2.9,76
2025-12-08 18:00:00,7.4,0.0,2.6,85
2025-12-08 19:00:00,6.5,0.0,2.7,90
2025-12-08 20:00:00,5.9,0.0,3.4,92
2025-12-08 21:00:00,6.3,0.0,0.5,80
2025-12-08 22:00:00,5.9,0.0,1.5,80
2025-12-08 23:00:00,4.8,0.0,2.2,89
2025-12-09 00:00:00,3.8,0.0,2.1,97
2025-12-09 01:00:00,3.5,0.0,3.1,98
2025-12-09 02:00:00,3.5,0.0,2.6,99
2025-12-09 03:00:00,2.6,0.0,3.1,100
2025-12-09 04:00:00,1.9,0.0,4.5,100
2025-12-09 05:00:00,1.9,0.0,4.6,100
2025-12-09 06:00:00,1.4,0.0,3.8,100
2025-12-09 07:00:00,1.6,0.0,5.6,100
2025-12-09 08:00:00,1.7,0.0,5.5,100
2025-12-09 09:00:00,4.4,0.0,5.1,88
2025-12-09 10:00:00,6.6,0.0,5.5,77
2025-12-09 11:00:00,8.4,0.0,5.4,69
2025-12-09 12:00:00,10.7,0.0,6.5,59
2025-12-09 13:00:00,11.5,0.0,5.9,58
2025-12-09 14:00:00,11.3,0.0,5.8,58
2025-12-09 15:00:00,11.5,0.0,4.3,66
2025-12-09 16:00:00,9.6,0.0,4.5,76
2025-12-09 17:00:00,8.5,0.0,4.7,81
2025-12-09 18:00:00,7.0,0.0,5.2,88
2025-12-09 19:00:00,6.2,0.0,6.3,91
2025-12-09 20:00:00,6.2,0.0,6.7,90
2025-12-09 21:00:00,6.0,0.0,4.6,89
2025-12-09 22:00:00,5.4,0.0,5.1,89
2025-12-09 23:00:00,4.9,0.0,4.7,90
