station_id,name,lat,lon,num_bikes_available,num_docks_available,num_vehicles_available,collection_timestamp,timestamp,temperature_2m,precipitation,windspeed_10m,humidity,time_delta_minutes
2255,368 - Tolstoi - Lorenteggio,45.453710246267775,9.149430356583878,13,12,13,2025-12-09 20:56:00,2025-12-09 21:00:00,6.0,0.0,4.6,89,4.0
2257,367 - Velasquez - Osoppo,45.46746408237823,9.141293924937427,13,10,13,2025-12-09 20:56:00,2025-12-09 21:00:00,6.0,0.0,4.6,89,4.0
2295,500 - Cascina Merlata - UpTown,45.5072021392292,9.10339201326996,19,11,19,2025-12-09 20:56:00,2025-12-09 21:00:00,6.0,0.0,4.6,89,4.0
2296,501 - Cascina Merlata - Social Village,45.5116249347622,9.10076199729425,20,10,20,2025-12-09 20:56:00,2025-12-09 21:00:00,6.0,0.0,4.6,89,4.0
2298,503 -Bovio - Crespi,45.5029420194373,9.18452979160363,5,32,5,2025-12-09 20:56:00,2025-12-09 21:00:00,6.0,0.0,4.6,89,4.0
2297,502 - UniCredit - Lampugnano M1,45.4896150218253,9.12624654490679,13,21,13,2025-12-09 20:56:00,2025-12-09 21:00:00,6.0,0.0,4.6,89,4.0
2316,V1 - Apulejo - Campania,45.46261856885451,9.22441043509366,3,15,3,2025-12-09 20:56:00,2025-12-09 21:00:00,6.0,0.0,4.6,89,4.0
2317,V2 - Hajech,45.46462568280333,9.21851054770636,3,16,3,2025-12-09 20:56:00,2025-12-09 21:00:00,6.0,0.0,4.6,89,4.0
2256,378 - San Gimignano - Soderini,45.454482280084505,9.135837717010643,17,8,17,2025-12-09 20:56:00,2025-12-09 21:00:00,6.0,0.0,4.6,89,4.0
2224,340 - Corvetto - Polesine,45.4398393314734,9.22404184256379,18,10,18,2025-12-09 20:56:00,2025-12-09 21:00:00,6.0,0.0,4.6,89,4.0
2245,357 - Ciceri Visconti - Martini,45.4557114393844,9.22033353904083,24,10,24,2025-12-09 20:56:00,2025-12-09 21:00:00,6.0,0.0,4.6,89,4.0
2243,381 - Primaticcio - Legioni Romane,45.459189635387,9.12967044518899,14,12,14,2025-12-09 20:56:00,2025-12-09 21:00:00,6.0,0.0,4.6,89,4.0
2226,342 - Bologna,45.444625624164,9.22368985503459,8,22,8,2025-12-09 20:56:00,2025-12-09 21:00:00,6.0,0.0,4.6,89,4.0
2227,343 - Ortles - Ripamonti,45.4388845662686,9.20045223215288,15,1,15,2025-12-09 20:56:00,2025-12-09 21:00:00,6.0,0.0,4.6,89,4.0
2228,384 - Gabrio Rosa,45.4370981185808,9.22423362461106,25,4,25,2025-12-09 20:56:00,2025-12-09 21:00:00,6.0,0.0,4.6,89,4.0
2229,385 - Ortles - Orobia,45.4398549637213,9.20626558483846,24,2,24,2025-12-09 20:56:00,2025-12-09 21:00:00,6.0,0.0,4.6,89,4.0
2230,354 - Foro Buonaparte,45.4676613908782,9.17841242366944,2,25,2,2025-12-09 20:56:00,2025-12-09 21:00:00,6.0,0.0,4.6,89,4.0
2231,363 - Tripoli,45.4595449087548,9.14968979786846,5,24,5,2025-12-09 20:56:00,2025-12-09 21:00:00,6.0,0.0,4.6,89,4.0
2232,369 - San Gimignano - Tuberose,45.4589204992567,9.13620803583359,16,13,16,2025-12-09 20:56:00,2025-12-09 21:00:00,6.0,0.0,4.6,89,4.0
2244,359 - Tertulliano - Caroncini,45.449209375464,9.21804812568328,8,18,8,2025-12-09 20:56:00,2025-12-09 21:00:00,6.0,0.0,4.6,89,4.0
